title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
"Integration of artificial intelligence (AI) with sensor networks: Trends, challenges, and future directions",https://dl.acm.org/doi/10.1016/j.jksuci.2023.101892,0,review-article,ACM,2024,"Wireless sensor networks (WSNs) have become widely ubiquitous deployed in many application domains over the past few decades. Classical approaches configure WSNs statically which makes altering and re-configuring them dynamically a challenging task. To address this challenge, Artificial Intelligence (AI) technologies could be integrated into WSNs. The utilization of AI systems holds the potential to enhance the efficient management of energy consumption, thereby preventing wastage and ensuring prolonged usage in WSN. This research investigates the application of AI, encompassing intelligent computing techniques such as Machine Learning, to promote sustainable energy practices, with a particular focus on Internet of Things (IoT) devices. We explores various methodologies employed in AI, including supervised and unsupervised learning, as well as reinforcement learning, within the context of existing practices. The primary objective is to provide insights for researchers seeking to comprehend recent advancements in employing AI for sustainable energy of WSNs. Additionally, the article addresses persistent challenges and issues that require attention and optimal solutions in this domain. As such, we provide an in-depth analysis of various recently proposed AI strategies (2007 to 2023) that have been applied to WSNs. The examined articles have been systematically arranged to enhance follow-through, clarity, and readability. Furthermore, we discuss the benefits and drawbacks of the (AI) techniques employed in WSNs. Finally, we discuss future research opportunities that would enable scalable and cost-effective AI deployment in WSNs.",none
A Q-Learning-based distributed routing protocol for frequency-switchable magnetic induction-based wireless underground sensor networks,https://dl.acm.org/doi/10.1016/j.future.2022.10.004,8,research-article,ACM,2023,"Magnetic Induction (MI) based Wireless underground sensor networks (WUSNs) consist of magnetic-antenna sensors that are buried in and communicate through soil, considered as part of full-coverage 6G wireless system. The wireless channel in MI-WUSNs appears a considerable frequency-selective property due to those conductivity objects in underground environment. This results in that a single frequency is almost impossible to ensure that all sensors in MI-WUSNs are both connected. To this end, the frequency-switch strategy is introduced into MI-WUSNs to cope with its frequency-selective property and ensure network connectivity, forming frequency-switchable MI-WUSNs. In this paper, the distributed routing protocol for frequency-switchable MI-WUSNs is studied to contribute to the network design of underground wireless systems. To be specific, we first map the frequency-switchable MI-WUSN to a multi-layer network and give a description about its routing decision in the Q-Learning framework. Then, we discuss several special designs in system implementation for the proposed routing protocol. In addition, simulation experiments are also considered to verify the convergence and effectiveness of our routing protocol.Highlights•Frequency-switch strategy is introduced into MI-WUSNs.•Kernel regression method is applied to accomplish the adaptive frequency selection in frequency-switchable MI-WUSN.•Several special designs in system implementation are proposed for the distributed routing protocol.•Simulation results reveal the effectiveness and adaptivity of our routing protocol.",none
Power-aware agent-solution for information communication in WSN,https://dl.acm.org/doi/10.1007/s11235-010-9347-6,0,article,ACM,2011,"The information-communication in an energy efficient and scalable manner in a wireless sensor network is a basic need. In this work, we use the multi-agent approach in order to build an Information Importance Based Communication (IIBC) for large scale wireless sensor network data processing. A multi-agent cooperation can be used to greatly reduce the communication cost, especially over low bandwidth links, by treating data cooperatively in sensor nodes rather than bringing this data to a central processor. The principal goal of our proposition is to maximize the wireless sensor network life time and simultaneously to insure a sufficient level of performance in term of latency, packet loss and reliability. Through successive simulations, IIBC proved its ability to reduce the power consumption of the sensor node to maximize ""the mean time to first network partition"" in several network densities and scales.",none
Enhancing privacy for ad hoc systems with predeployment key distribution,https://dl.acm.org/doi/10.1016/j.adhoc.2017.01.003,2,research-article,ACM,2017,"Achieving security in distributed systems of constrained devices (like Wireless Sensor Networks) requires methods that can be performed while very limited computational, memory and communication resources are available. Moreover, while designing security protocols one needs take into account the adversary that can eavesdrop communication or compromise some of the devices. To achieve some level of security, two communicating devices need to establish a communication key. In the setting of severely constrained devices traditional methods are infeasible due to resource limitations, and one has to incorporate other security providing methods. One of the first such protocols has been introduced in Eschenauer and Gligor [23]. The paper followed by dozens of others relies on probabilistic key sharing among the nodes before deployment (key predistribution) in the Ad Hoc environment.In our paper, we show that regular protocols of key predistribution designed primarily for providing confidentiality of communication do not provide privacy in many natural scenarios. More precisely, even a weak adversary may link transmissions of the same nodes. In particular even a passive adversary that is eavesdropping the communication can easily recognize whether the same devices start communication several times. Such information not only breaches nodes privacy but also can be a starting point for an more advanced attacks and can give significant information about networks activity. We define several models of adversary and introduce some general methods that can be used for addressing this issue. For the model with weaker adversary we show how to fully secure the privacy in an efficient manner. For the case of stronger adversary, we propose a method based on local key exchange allowing mitigation of the privacy threat.",none
ETERS: A comprehensive energy aware trust-based efficient routing scheme for adversarial WSNs,https://dl.acm.org/doi/10.1016/j.future.2021.06.049,10,research-article,ACM,2021,"Trust-based secure routing schemes are more effective than cryptographic routing protocols to convey energy-efficient data in WSNs since cryptographic protocols require high computation, more convergence time as well as storage space. The paper presents a well-organized trust estimation-based routing scheme (ETERS) that consists multi-trust (communication trust, energy trust, data trust) approach to alleviate several internal attacks like badmouthing, Sybil, selective forwarding, on–off,​ black hole, and gray-hole attacks for clustered WSN. The proposed multi-trust approach is used to analyze the credibility of sensitive monitored data. A novel and efficient cluster head selection algorithm (ECHSA) is employed to improve the performance of the cluster head (CH) selection process in clustered WSN. ECHSA allows the facility to elect a robust CH after a certain period to perform an equal load balance on all CHs. ETERS utilizes the Beta distribution-based trust function because recovery of trust values under attacks is faster in Beta distribution than Gaussian and Dirichlet distribution. ETERS also incorporates an irregular attenuation factor during the evaluation of communication trust to reflect the effect of various external factors such as natural calamity (earthquake), network congestion, etc., based on the trust values. However, a trust-based attack detection algorithm (TADA) assesses the reliability of SNs to detect internal attacks. TADA employs IDs, locations, and triple trust to detect internal attacks. Additionally, the proposed trust system employs an adjustable dynamic sliding length logical timing window to eradicate the limitations of existing trust models. Furthermore, a trust-based secure routing algorithm is incorporated to dynamically detect misbehavior in terms of packet forwarding for energy-efficient communication among sensor nodes. ETERS is compared with QEBSR, ATRP, ELPC, and SQEER to examine its performance. Experimental results on the MATLAB simulation platform exhibit excellent performance in terms of severity analysis, attack detection, and prevention to protect WSN, energy consumption under (i) normal (ii) attack scenario, latency (in sec.), packet delivery ratio (PDR), and throughput (in %) in the existence of spiteful nodes.Highlights•Present motivation and vision for WSNs.•Present a comprehensive, scalable, realistic multi-trust model highly suitable for alleviating internal attacks in WSNs.•Emphasize on the strength of the weighted approach and Beta distribution.•Efficiently identify (defend) selfish SNs and provide prevention by employing flexible punishment coefficient that can be tuned according to application requirement.•Aim to provide the adaptability of various environmental conditions into a trust-based routing scheme according to system requirements.",none
Robustness of Middleware Communication in Contested and Dynamic Environments,https://dl.acm.org/doi/10.5555/3586210.3586382,0,research-article,ACM,2023,"Contested and dynamic environments with poor and unreliable network conditions are often encountered by military operations or crisis management systems. While it is a common occurrence for networks to behave poorly, or for system nodes to malfunction, most existing decision making algorithms have only been tested in perfect conditions. In this paper, we present an analysis of the robustness of reinforcement learning and evolutionary approaches employed in a communication middleware that operates in a contested environment. The SMARTNet middleware prioritizes and controls the messages sent by each node, with the aim of preserving network bandwidth. We evaluate the robustness of a reinforcement learning and an evolutionary computation implementations as SMARTNet executes in changing conditions, with nodes dropping out, and the network becoming congested both generally and for specific message types.",none
A load-balanced data aggregation scheduling for duty-cycled wireless sensor networks,https://dl.acm.org/doi/10.1109/CloudCom.2012.6427533,0,Article,ACM,2012,"To bridge the gap between limited energy supplies of the sensor nodes and the system lifetime, duty-cycle Wireless Sensor Networks (WSNs) with data aggregation are studied in this paper. We proposed a load-balanced and latency-efficient data aggregation scheduling for duty-cycled WSNs. A shortest path tree (SPT) is used as the routing structure for data aggregation scheduling. In SPT, parent-children assignments are well-designed to assign nodes from level h+1 to the parents at level h such that every parent has a balanced load, while reducing the sleep latency which is a period of time for a sender to wait for its parent to be active. Finally, through the simulation and comparisons, we prove the effectiveness of our approach.",none
Graph Neural Networks in IoT: A Survey,https://dl.acm.org/doi/10.1145/3565973,31,research-article,ACM,2023,"The Internet of Things (IoT) boom has revolutionized almost every corner of people’s daily lives: healthcare, environment, transportation, manufacturing, supply chain, and so on. With the recent development of sensor and communication technology, IoT artifacts, including smart wearables, cameras, smartwatches, and autonomous systems can accurately measure and perceive their surrounding environment. Continuous sensing generates massive amounts of data and presents challenges for machine learning. Deep learning models (e.g., convolution neural networks and recurrent neural networks) have been extensively employed in solving IoT tasks by learning patterns from multi-modal sensory data. Graph neural networks (GNNs), an emerging and fast-growing family of neural network models, can capture complex interactions within sensor topology and have been demonstrated to achieve state-of-the-art results in numerous IoT learning tasks. In this survey, we present a comprehensive review of recent advances in the application of GNNs to the IoT field, including a deep dive analysis of GNN design in various IoT sensing environments, an overarching list of public data and source codes from the collected publications, and future research directions. To keep track of newly published works, we collect representative papers and their open-source implementations and create a Github repository at GNN4IoT.",none
Cluster-Based Classical Routing Protocols and Authentication Algorithms in WSN: A Survey Based on Procedures and Methods,https://dl.acm.org/doi/10.1007/s11277-021-09265-7,2,review-article,ACM,2022,"Wireless sensor system (WSN) is an assortment of miniature sensor knobs with some limitations. But in today's world, we are searching for the approach which provides cost-effective and time-saving that divulges the new idea and tactic in the envisioned arena. The study delivers the rapid opinion of this perception. In many areas, WSN is used such as in weather forecasting, military applications, battlefield applications, intrusion detection system. But these systems are having many limitations such as energy inefficiency, security, synchronization. For ensuring energy efficiency low-energy adaptive clustering hierarchy (LEACH) and advanced version of LEACH are used to augment the area of the sensor knobs. Author mentions and analyses the different types of protocols for prolonging the energy of sensor knobs. The research claimed had absorbed the security of the sensor knobs by implementing the different types of authentication measures which reduce attacks, capture attack, pin guessing attacks, and many more. This survey is very useful for beginners to understand the limitations and shortcomings of the cluster head and authentication protocols in WSN.",none
Controlling Mobile Sink Trajectory for Data Harvesting in Wireless Sensor Networks,https://dl.acm.org/doi/10.1007/s11277-016-3383-9,0,article,ACM,2016,"This paper proposes a mathematical optimization model to maximize the lifetime of wireless sensor networks through determining the optimal trajectory (OT) of mobile sink (MS). We address deadline and event based applications where by capturing an event, a sensor node has to send its data to MS in a restricted time slot defined as a deadline. We demonstrate that the addressed problem is in NP-hard form and then by dividing the problem into two phases, we propose a heuristic approach based on mathematical optimization. In the first phase, the trajectory of MS is determined through proposing a convex mathematical optimization model; in this step, we specify an optimal line as OT with respect to the current location and constant velocity of MS; moreover, the volume of captured data by sensor nodes, deadline and geographical locations of sensor nodes are taken into account. We extend our work in the second phase by proposing a mixed integer linear programming (MILP) model to relax the constant velocity assumption of MS. To obtain an optimal solution of MILP, subsequently a tabu-based algorithm is proposed. The effectiveness of our approach is validated via the extensive number of simulation runs and comparison with other proposed algorithms.",none
