title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
Determination of Energy Efficient Routing Protocol for Underwater Optical Wireless Sensor Networks Using Reinforcement Learning Algorithm,https://ieeexplore.ieee.org/document/10270231/,1,Conference Paper,IEEE,2023,"underwater optical wireless sensor networks (OWSNs) are rapidly emerging networking technologies due to their quick response and wide transmission range. The light signals in OWSNs can travel through a long distance and result in higher communication reliability and longer-range sensing. In order to support a reliable communication of these networks, efficient routing and resource management schemes, which can adapt dynamically to the changing environment, are of vital importance. Reinforcement learning (RL) provides a versatile framework to optimize the routing and security parameters of OWSNs by learning from the environment and modeling the network. This paper presents an overview of RL-based approaches for routing and security in OWSNs. Various RL strategies have been proposed to address the routing, including Q-learning, SARSA, and double Q-learning. As for security, RL can be used to identify threats, detect anomalies, and reserve resources through the simulated interaction with the environment. The advantages of using the RL framework for underwater optical wireless sensor networks are discussed in this paper.","Learning Algorithms ,  Energy Efficiency ,  Optical Sensors ,  Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Efficient Route ,  Reinforcement Learning Algorithm ,  Optical Networks ,  Environmental Changes ,  Reliable Communication ,  Reinforcement Learning Scheme ,  Deep Learning ,  Internet Of Things ,  Data Transmission ,  Network Performance ,  Harsh Environments ,  False Negative Rate ,  Environmental Model ,  Use Of Learning ,  Diagnostic Odds Ratio ,  Autonomous Underwater Vehicles ,  Markedness ,  Undersea ,  Uncertain Environment ,  Communication Links ,  Environmental Knowledge ,  Routing Decisions ,  Scheduling Decisions ,  Communication Protocol "
Improving Router Cooperation in Mobile Wireless Sensor Networks Using Reinforcement Learning,https://ieeexplore.ieee.org/document/6104544/,1,Conference Paper,IEEE,2011,"This paper proposes to promote cooperative routing for homogeneous mobile wireless sensor networks (mWSNs) using a scalable, distributed incentive-based mechanism with reasonable resource requirements using reinforcement learning (RL). In particular, Q-learning which is a well-known RL method was integrated an existing Continuous Value Cooperation Protocol (CVCP). We also studied their effects on the efficiency in non-cooperative mWSNs and propose a good routing strategy under constrained conditions such as network traffic load, degree of mobility and path loss exponent.","Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Mobile Wireless Sensor Networks ,  Scalable ,  Path Loss Exponent ,  Reinforcement Learning Methods ,  Degree Of Mobility ,  Routing Scheme ,  Time Step ,  Cost Function ,  State Space ,  Online Learning ,  Game Theory ,  Source Node ,  Sleep Cycle ,  Network Load ,  Average Reward ,  Energy Consumption Cost ,  Path Nodes ,  Pause Time ,  Percentage Of Nodes ,  Number Of Credits ,  Success Ratio ,  Random Action ,  Action-value Function ,  Successful Path "
QTSRA: A Q-learning-based Trusted Routing Algorithm in SDN Wireless Sensor Networks,https://ieeexplore.ieee.org/document/10580079/,0,Conference Paper,IEEE,2024,"With the development of wireless communication technology and the Industrial Internet, Software Defined Network (SDN) technology has been introduced to wireless sensor networks due to its agility and flexibility. This meets the potential scalability and flexibility requirements of the Internet of Things. Thus, a new Industrial Internet architecture, called SDN-WSN, was formed. As the scale of SDN-WSN increases, efficient routing protocols with low latency and high security are required, while the standard routing protocol of SDN is still vulnerable to dynamic changes in traffic control rules, especially when the network is under attack. To address the above issues, a network node credibility evaluation model based on D-S evidence theory was constructed to evaluate the trust value of wireless sensor network nodes. A trustworthy secure routing algorithm based on Q-learning (QTSRA) was proposed. This method extracts knowledge from historical traffic demands by interacting with the underlying network environment to evaluate the trustworthiness of network nodes. Simultaneously, it implements dynamic optimising routing strategies based on deep reinforcement learning algorithms. We conducted simulation experiments for several network performance metrics, and the results showed that the proposed QTSRA routing algorithm exhibited good performance. In most of the cases, the QTSRA had an improved relative performance gain as compared to the traditional AODV and OLSR routing algorithms.","Wireless Sensor Networks ,  Routing Algorithm ,  Model Evaluation ,  Simulation Experiments ,  Internet Of Things ,  Wireless Networks ,  Low Latency ,  Value Of Node ,  Deep Reinforcement Learning ,  Reinforcement Learning Algorithm ,  Evidence Theory ,  Traditional Routes ,  Deep Reinforcement Learning Algorithm ,  Industrial Internet ,  Routing Scheme ,  Trust Value ,  Basis Functions ,  Pieces Of Evidence ,  Heterogeneous Network ,  Increase In Period ,  Malicious Nodes ,  Fuzzy Measure ,  Denial Of Service ,  Packet Loss Rate ,  Malicious Attacks ,  Current Node ,  Q-learning Algorithm ,  Highest Confidence ,  Confidence Value ,  Rate Of Nodes "
SDN-QLTR: Q-Learning-Assisted Trust Routing Scheme for SDN-Based Underwater Acoustic Sensor Networks,https://ieeexplore.ieee.org/document/10299669/,1,Journal Article,IEEE,2024,"In underwater acoustic sensor networks (UASNs), the underwater sensors perform underwater data collection tasks, such as data collection and transmission at different locations in the monitoring area. To support cooperative underwater missions among the underwater sensor nodes, such as cooperative data delivery, one of the challenges is how to design smart underwater routing protocols that can guarantee safe, reliable, and energy-efficient data transfer among the underwater sensors. In this article, we introduce the paradigm of software-defined networking (SDN) and propose an SDN-based network framework for UASNs. Based on the proposed network framework, a 
 $Q$ 
-learning-assisted trust routing scheme for SDN-based UASNs (SDN-QLTR) is proposed. The proposed SDN-QLTR aims to seek for a secure routing path for executing underwater data transmission. Note that, in SDN-QLTR, effective trust evaluation methods are designed to resist malicious attacks initiated by nodes in UASNs. And SDN-QLTR integrates the advantages of SDN and reinforcement learning algorithm, can be flexibly applied in UASNs with dynamic features. Simulation results show that SDN-QLTR performs better in network lifetime, latency, and reliability.","Sensor Networks ,  Routing Scheme ,  Acoustic Networks ,  Learning Algorithms ,  Data Transmission ,  Reinforcement Learning Algorithm ,  Malicious Attacks ,  Network Lifetime ,  Dense Network ,  Time Slot ,  Neighboring Nodes ,  Waiting Time ,  Types Of Attacks ,  Source Node ,  Residual Energy ,  Undersea ,  Destination Node ,  Trust Model ,  Trust Value ,  Changes In Network Topology ,  DoS Attacks ,  Energy Of Nodes ,  Malicious Nodes ,  Routing Decisions ,  Autonomous Surface Vehicles ,  Node Depth ,  Behavior Of Nodes ,  Data Trust ,  Wireless Sensor Networks ,  Energy Consumption "
A Multi-Agent Reinforcement Learning Routing Protocol for Underwater Optical Sensor Networks,https://ieeexplore.ieee.org/document/8761441/,30,Conference Paper,IEEE,2019,"Much attention has been paid to underwater optical wireless sensor networks with the characteristics of high transmission rate and low delay for high-bandwidth underwater applications. However, several issues may take place and hinder the routing of underwater optical communication nodes due to the highly dynamic topology caused by the ocean current movement. On the purpose of addressing the problem and enhancing the robustness of dynamic network, in this paper, we propose a novel routing protocol, based on multi-agent reinforcement learning (MARL) for underwater optical sensor networks. The network is firstly modeled as a multi-agent system and the protocol based on reinforcement learning algorithm is designed to realize dynamic route selection by information interacting between adjacent nodes and maximize the network lifetime. The simulation results demonstrate that MARL has lower energy consumption and higher delivery ratio (about 95%) in a dynamic topology than the existing Q-learning, QDTR and AODV routing protocols.","Optical Sensors ,  Sensor Networks ,  Optical Networks ,  Multi-agent Reinforcement Learning ,  Optical Sensor Networks ,  Energy Consumption ,  Dynamic Network ,  Multi-agent Systems ,  Optical Communication ,  Wireless Sensor Networks ,  Reinforcement Learning Algorithm ,  Adjacent Nodes ,  Route Selection ,  Dynamic Topology ,  Delivery Ratio ,  Network Lifetime ,  Underwater Communication ,  Network Topology ,  Long-term Goals ,  Neighboring Nodes ,  Residual Energy ,  Distribution Of Nodes ,  Energy Of Nodes ,  Undersea ,  Reward Function ,  Markov Decision Process ,  Static Network ,  Mobile Nodes ,  Processing Routes ,  Routing Scheme "
Deep-q-Networks-Based Adaptive Dual-Mode Energy-Efficient Routing in Rechargeable Wireless Sensor Networks,https://ieeexplore.ieee.org/document/9745096/,6,Journal Article,IEEE,2022,"In order to enhance the sustainability of rechargeable wireless sensor networks (RWSN), a deep-q-networks (DQN)-based adaptive dual-mode energy-efficient routing is proposed in this paper. Firstly, the life expectancy of each node is calculated based on multiple related factors, and a multi-hop routing based on forward transmission principle is proposed by using the indicator. Then according to the relationship between the life expectancy of a single node and the average life expectancy of the whole network, an adaptive dual-mode energy-efficient routing is proposed, which combines the multi-hop routing and the direct upload routing. Finally, for reducing the requirement of the single node for the network state information in the process of routing mode selection, a reinforcement learning framework based on DQN is designed, enabling the nodes to learn to judge the above relationship of life expectancy based on partial state information of its local network. Simulation results show that dynamic adjustment of the routing mode enables our algorithm to effectively optimize energy efficiency, so that the network lifetime increases obviously. Based on the limited information, the correct rate of routing mode selection can reach 95%, which ensures the applicability of our algorithm.","Wireless Sensor Networks ,  Adaptive Routing ,  Energy-efficient Routing ,  Wireless Rechargeable Sensor Networks ,  Lifespan ,  Energy Efficiency ,  Local Network ,  Network State ,  Partial Information ,  Average Life Expectancy ,  Part Of The State ,  Direct Route ,  Selection Rate ,  Reinforcement Learning Framework ,  Network Lifetime ,  Energy Consumption ,  Network Topology ,  Data Transmission ,  Base Station ,  Side Length ,  Cluster Head ,  Routing Scheme ,  Traffic Load ,  Relay Nodes ,  Correction Module ,  Routing Algorithm ,  Data Packets ,  Longest Lifetime ,  Common Node "
A Deep Learning Enabled Software-Defined Radio based Routing Protocol for Underwater Acoustic Sensor Networks,https://ieeexplore.ieee.org/document/9760848/,8,Conference Paper,IEEE,2022,"Over the recent years, several aquatic applications rely on promising networking techniques like the underwater acoustic sensor network (UWSN) for data exchange. UWSN exhibits certain challenges like high energy consumption, low bandwidth, and high latency while building network protocols. The UWSN routing issue is addressed in this paper by introducing a lifetime aware, energy efficient, adaptive, deep learning enabled software-defined radio-based routing protocol for underwater acoustic sensor networks. The network development risks are largely reduced and the flexibility is increased using a novel paradigm called Software-Defined Networking (SDN). Distribution of the sensor nodes and their residual energy helps in prolonging the network lifetime using generic MAC protocols. An adequate number of nodes are selected for forwarding the packets by calculating the reward function throughout the routing process while distributing the residual energy of each node among a group of nodes. A deep reinforcement learning algorithm is used for optimization of this routing protocol by reducing the throughput and delay. Network lifetime, latency, energy efficiency, and packet delivery rate of the proposed model is compared with the existing models. Simulation is performed on Aqua-sim platform. From the results of simulation, it is evident that the proposed model increases the network lifetime by 15% when compared to the conventional techniques.","Deep Learning ,  Sensor Networks ,  Acoustic Networks ,  Energy Efficiency ,  Delivery Rate ,  Deep Reinforcement Learning ,  Residual Energy ,  Deep Reinforcement Learning Algorithm ,  Network Lifetime ,  Metadata ,  Data Transmission ,  Average Energy ,  Very Low Frequency ,  Wireless Sensor ,  Wireless Sensor Networks ,  Data Packets ,  OpenFlow ,  Acoustic Communication ,  Control Plane ,  Autonomous Underwater Vehicles ,  Virtual Network Functions ,  All-to-all Communication ,  Routing Decisions ,  Control Packets ,  Packet Header ,  Flow Table ,  Payload Data "
Q-Learning-Based Data-Aggregation-Aware Energy-Efficient Routing Protocol for Wireless Sensor Networks,https://ieeexplore.ieee.org/document/9321407/,94,Journal Article,IEEE,2021,"The energy consumption of the routing protocol can affect the lifetime of a wireless sensor network (WSN) because tiny sensor nodes are usually difficult to recharge after they are deployed. Generally, to save energy, data aggregation is used to minimize and/or eliminate data redundancy at each node and reduce the amount of the overall data transmitted in a WSN. Furthermore, energy-efficient routing is widely used to determine the optimal path from the source to the destination, while avoiding the energy-short nodes, to save energy for relaying the sensed data. In most conventional approaches, data aggregation and routing path selection are considered separately. In this study, we consider the degrees of the possible data aggregation of neighbor nodes when a node needs to determine the routing path. We propose a novel Q-learning-based data-aggregation-aware energy-efficient routing algorithm. The proposed algorithm uses reinforcement learning to maximize the rewards, defined in terms of the efficiency of the sensor-type-dependent data aggregation, communication energy and node residual energy, at each sensor node to obtain an optimal path. We used sensor-type-dependent aggregation rewards. Finally, we performed simulations to evaluate the performance of the proposed routing method and compared it with that of the conventional energy-aware routing algorithms. Our results indicate that the proposed protocol can successfully reduce the amount of data and extend the lifetime of the WSN.","Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Energy-efficient Routing ,  Energy Consumption ,  Aggregate Data ,  Sensor Data ,  Wireless Networks ,  Neighboring Nodes ,  Optimal Path ,  Degree Of Aggregation ,  Residual Energy ,  Routing Algorithm ,  Conventional Route ,  Routing Path ,  Network Lifetime ,  Aggregator Node ,  Time Step ,  Energy Efficiency ,  Shortest Path ,  Hop Count ,  Energy Of Nodes ,  Number Of Sensor Nodes ,  Sink Node ,  Model Aggregation ,  Types Of Sensors ,  Vehicular Ad Hoc Networks ,  Ant Colony Optimization Algorithm ,  Actual Reward ,  Unmanned Aerial Vehicles "
Futuristic Analysis of Machine Learning Based Routing Protocols in Wireless Ad Hoc Networks,https://ieeexplore.ieee.org/document/9514998/,6,Conference Paper,IEEE,2021,"With achievements of Machine learning over the past years many computer networks and artificial intelligence actively using Machine learning architecture and its technology to improvise the performance of their approach for effective output. Machine learning plays great role in the field of wireless ad-hoc network as by providing the suitable environment to the routing protocols to make them react accordingly so that will have maximum throughput and parameters such as packet delivery ratio, hop-to-hop count, optimization of quality of service (QoS) will increased. In this paper, various types of Machine learning applied on different wireless Ad-hoc network are studied and how the performance parameters vary accordingly. A systematic approach is used to study all simulators which are utilized and evaluated by different protocols used in MANET, VANET. There is a need of a many other parameters to be studied and simulation used in Ad-hoc network which enables the users to ensure the optimization so that we can minimize the chances of failure of data and maximize the throughput after selecting best model of machine learning. This paper presents the futuristic anatomy of different machine learning models used in various protocols.","Machine Learning ,  Wireless Networks ,  Ad Hoc Networks ,  Service Quality ,  Machine Learning Models ,  Digital Networks ,  Role In The Field ,  Network Throughput ,  Delivery Ratio ,  Packet Delivery Ratio ,  Machine Learning Architectures ,  Learning Algorithms ,  Support Vector Machine ,  Machine Learning Techniques ,  Multinomial Regression ,  Shortest Path ,  Sensor Networks ,  Temporal Differences ,  Open Issues ,  Traffic Prediction ,  Wireless Sensor Networks ,  Future Scope ,  Area Under Receiver Operating Characteristic Curve ,  Reinforcement Learning Algorithm ,  Q-learning ,  Back Propagation Neural Network ,  Destination Node ,  Network Routing ,  Mobile Nodes "
Topology-Aware Reinforcement Learning Routing Protocol in Underwater Wireless Sensor Networks,https://ieeexplore.ieee.org/document/8939720/,5,Conference Paper,IEEE,2019,"Existing reinforcement learning (RL)-based routing protocols in underwater wireless sensor networks (UWSNs) do not consider the network topology when selecting a next-forwarder for packet forwarding. To eliminate resource waste from the forwarding in a wrong direction, this paper proposes a network topology-aware RL routing protocol for UWSNs. Taking the network topology into account, sensor nodes first find next-forwarder candidates and then select a highest-valued one of them to forward data. The simulation result shows that the proposed scheme outperforms QELAR in terms of latency and total energy consumption.","Wireless Sensor Networks ,  Underwater Wireless Sensor Networks ,  Network Topology ,  Total Energy Consumption ,  Wrong Direction ,  Forward Data ,  Packet Forwarding ,  Channel State ,  Battery Power ,  Reward Function ,  Energy Waste ,  Data Packets ,  Residual Energy ,  Amount Of Reward ,  Routing Path ,  Packet Delivery ,  Packet Error "
