,title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
0,RL-based routing in biomedical mobile wireless sensor networks using trust and reputation,https://ieeexplore.ieee.org/document/6328422/,9,Conference Paper,IEEE,2012,"The main function of biomedical sensor network is to guarantee that the data packets from patients can be delivered reliably to the destination node or medical center. Attached to patients, these nodes can be mobile, thus forming a mobile wireless sensor network (mWSN). Moreover, non-cooperative nodes may also be present in the network. This paper therefore proposes a routing method for non-cooperative mWSNs based on Reinforcement Learning (RL). In particular, a reputation and trust scheme to avoid misbehaving nodes was integrated with an existing RL-based routing protocol called RL-QRP. We evaluated its performance in non-cooperative mWSNs under various conditions of non-cooperation and mobility. We found that the proposed method can achieve a success ratio of up to 11% over the RL-QRP, and 25% over a non-learning brute force search threshold method.","Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Mobile Wireless Sensor Networks ,  RL-based Routing ,  Data Packets ,  Destination Node ,  Mobile Sensors ,  Success Ratio ,  Biomedical Sensors ,  Shortest Path ,  Neighboring Nodes ,  Reward Function ,  Secret Sharing ,  Routing Algorithm ,  Routing Scheme ,  Trust Value ,  Mobile Nodes ,  Sink Node ,  Malicious Nodes ,  Number Of Sensor Nodes ,  Packet Forwarding ,  Packet Drop ,  Trust Mechanism "
1,Applying Graph Neural Network in Deep Reinforcement Learning to Optimize Wireless Network Routing,https://ieeexplore.ieee.org/document/9816354/,3,Conference Paper,IEEE,2022,"At present, the traffic in wireless sensor networks (WSN) is growing at an extremely fast speed, consuming more and more network resources. This undoubtedly affects the transmission performance of WSN. Good and efficient routing technology is one of the key technologies to solve this problem. Limited by the dynamic network state, traditional routing technology faces some problems such as performance degradation and lack of learning ability. In contrast, Deep Reinforcement Learning (DRL), which has the ability of decision-making and online learning, has a better effect in facing the routing optimization problem. DRL can learn routing strategy online or offline through reinforcement learning mechanism and deep neural network. However, the existing routing models based on DRL use fully connected neural networks or convolutional neural networks, and cannot learn the network topology information. This will lead to the failure of the previously trained routing model in the face of a new network. Therefore, under the background that WSN nodes may fail, resulting in topology changes, this paper combines Graph Neural Network (GNN) with DRL, and proposes GRL-NET intelligent routing algorithm. The algorithm uses GNN instead of conventional neural network to construct DRL Agent. With the help of GNN, GRL-NET can not only learn the complex relationship among network topology, traffic and routing from the perspective of network topology, but also run in a network topology that has never appeared before. In order to evaluate the effect of GRL-NET, several groups of experiments were conducted under different traffic intensity. Experimental results show that GRL-NET can not only learn the best routing strategy, but also keep good results in the never-seen network topology.","Neural Network ,  Deep Learning ,  Wireless Networks ,  Deep Reinforcement Learning ,  Graph Neural Networks ,  Network Routing ,  Convolutional Neural Network ,  Deep Neural Network ,  Network Topology ,  Online Learning ,  Network State ,  Pathfinding ,  Intelligence Algorithms ,  Topological Changes ,  Wireless Sensor Networks ,  Topological Information ,  Traditional Routes ,  Face Model ,  Routing Algorithm ,  Routing Scheme ,  Actor Network ,  Sink Node ,  Source Node ,  Node Features ,  Graph Structure ,  Cause Of This Phenomenon ,  Critic Network ,  Neighboring Nodes ,  Markov Decision Process ,  Network Input "
2,Energy-Efficient Routing Protocols for Wireless Sensor Networks,https://ieeexplore.ieee.org/document/10060003/,0,Conference Paper,IEEE,2022,"Wireless Sensor Networks (WSN) has been a topic of research since a very long time. The importance of WSN is of huge diversity as it is used in military services, environmental services, medicine, agriculture, etc. WSN is a composition of many sensor nodes that work together to send data from the source to the base station. The sensor nodes are placed systematically inside a network. The design of this network is of most importance as it deals with the reliability, efficiency, energy consumption, delay, and lifetime of the entire WSN. The longest lifespan of the system and lowering sensor node energy consumption are given top priority while developing a WSN. Various types of routing algorithms are used in the perspective of this. In this paper, the author has bifurcated the routing protocols into four main categories which are Multi-hop, Hierarchical, Cluster-based, and Long range. Apart from these, the author has also mentioned routing methods on Fault tolerance, Neutral network, Query based, and Swarm intelligence.","Wireless Sensor Networks ,  Energy-efficient Routing ,  Ecosystem Services ,  Military Service ,  Base Station ,  Fault-tolerant ,  Network Design ,  Swarm Intelligence ,  Routing Algorithm ,  Routing Method ,  Neutral Network ,  Energy Levels ,  Entire Network ,  Source Node ,  Node Level ,  Lot Of Energy ,  Destination Node ,  Routing Scheme "
3,Routing in Wireless Sensor Networks using swarm intelligence,https://ieeexplore.ieee.org/document/6357964/,4,Conference Paper,IEEE,2012,"Wireless Sensor Networks consisting of nodes with limited power are deployed to collect and distribute useful information from the field to the other sensor nodes. Energy consumption is a key issue in the sensor's communications since many use battery power, which is limited. The sensors also have limited memory and functionality to support communications. Ant Colony Optimization, a swarm intelligence based optimization technique, is widely used in network routing. This paper describes a new routing approach for Wireless Sensor Networks consisting of stable nodes based an Ant Colony Optimization algorithm that explore the network and learn good routes, using a novel variation of reinforcement learning. Simulation results show that proposed algorithm provides promising solutions allowing node designers to efficiently operate routing tasks.","Sensor Networks ,  Wireless Sensor Networks ,  Swarm Intelligence ,  Wireless Sensor Network Routing ,  Optimization Algorithm ,  Battery Power ,  Ant Colony Optimization ,  Ant Colony Optimization Algorithm ,  Network Routing ,  Energy Levels ,  Base Station ,  Decision Rules ,  Neighboring Nodes ,  Source Node ,  Node Level ,  Table Entries ,  Routing Algorithm ,  Routing Scheme ,  Sink Node ,  Network Lifetime ,  Routing Table "
4,CLORP: Cross-Layer Opportunistic Routing Protocol for Underwater Sensor Networks Based on Multiagent Reinforcement Learning,https://ieeexplore.ieee.org/document/10492498/,0,Journal Article,IEEE,2024,"With the development of the Internet of Underwater Things (IoUT), both academia and industry have significant emphasized underwater wireless sensor networks (UWSNs). To address the issues of slow convergence, high latency, and limited energy in existing intelligent routing protocols in UWSNs, a cross-layer opportunistic routing protocol (CLORP) for underwater sensor networks based on multiagent reinforcement learning (MARL) is proposed in this article. First, CLORP combines the decision-making capability of MARL with the idea of opportunistic routing to sequentially select a set of neighbors with larger values as potential forwarding nodes, thereby increasing the packet transmission success rate. Second, in the design of the MARL reward function, two reward functions for successful and unsuccessful packet transmission are designed jointly with cross-layer information to improve the routing protocol’s performance. Finally, two algorithmic optimization strategies, adaptive learning rate and 
 ${Q}$ 
-value initialization based on location and number of neighbors, are proposed to facilitate the faster adaptation of agents to the dynamic changes of network topology and accelerate CLORP convergence. The experimental results demonstrate that CLORP can increase algorithm convergence speed by 13.2%, reduce network energy consumption by 25%, and decrease network latency by 31.2%.","Sensor Networks ,  Multi-agent Reinforcement Learning ,  Underwater Sensor ,  Underwater Sensor Networks ,  Opportunistic Routing ,  Opportunistic Routing Protocol ,  Energy Consumption ,  Dynamic Changes ,  Learning Rate ,  Convergence Rate ,  Network Topology ,  Convergence Of Algorithm ,  Topological Changes ,  Reward Function ,  Adaptive Rate ,  Wireless Sensor Networks ,  High Latency ,  Packet Transmission ,  Adaptive Learning Rate ,  Neighboring Locations ,  Energy Of Nodes ,  Delay Cost ,  Routing Algorithm ,  Congestion Costs ,  Routing Method ,  Routing Scheme ,  Autonomous Underwater Vehicles ,  Transmission Failure ,  Relay Nodes ,  Path Planning "
5,Design of energy-aware QoS routing protocol in wireless sensor networks using reinforcement learning,https://ieeexplore.ieee.org/document/6900988/,5,Conference Paper,IEEE,2014,"Nowadays a major class of wireless sensor networks (WSNs) applications require a minimum quality of service parameters to be satisfied while the wireless sensor nodes are mobile. Most of the standard WSN routing protocols greedily choose the neighbor node with the best quality of service (QoS) parameter(s) as a next hop. However, the data packet might be able to be routed through other neighbors as it might require less QoS. So the energy of the neighbor node with the best QoS will deplete earlier than other nodes which will result in the reduction of network lifetime. Therefore, it is important that QoS routing protocols of WSNs be capable of efficiently balancing energy and other resources consumption throughout the network. In this paper, we proposed EQR-RL, energy-aware QoS routing protocol in WSNs using reinforcement learning. We compare the network performance of our proposed protocol with two other protocols (QoS-AODV and RL-QRP). The packet delivery ratio, average end-to-end delay and impact of the different traffic load on average end-to-end delay are investigated. Simulation results indicate the superiority of our proposed protocol over two others by considering different network traffic load and node mobility in terms of average end-to-end delay and packet delivery ratio.","Service Quality ,  Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Quality Of Service Routing ,  Resource Consumption ,  Neighboring Nodes ,  Data Packets ,  Traffic Load ,  Mobile Nodes ,  Delivery Ratio ,  Network Lifetime ,  Packet Delivery Ratio ,  Wireless Sensor Nodes ,  Learning Rate ,  Network Topology ,  Load Balancing ,  Beginning Of The Simulation ,  Exploration Strategy ,  Routing Problem ,  Routing Table ,  Multi-agent Reinforcement Learning ,  Quality Of Service Requirements ,  Packet Header ,  Round-trip Time ,  Routing Algorithm ,  Latency Range ,  Routing Cost ,  Number Of Distance "
6,QEBR: Q-Learning Based Routing Protocol for Energy Balance in Wireless Mesh Networks,https://ieeexplore.ieee.org/document/8780798/,8,Conference Paper,IEEE,2018,"For wireless mesh networks (WMN), energy balance has a significant impact on network lifetime. With the rapid growth of intelligent devices, learning from the environment and experience is a challenge for conventional routing protocols. To alleviate this problem, this paper proposes an energy balanced routing protocol based on Q-learning (QEBR) for WMN. Routing decisions are made by distributed reinforcement learning based routing models. A concept of neighbor energy sorting is proposed in QEBR to design the state and the reward function of Q-learning model. Simulation results demonstrate that QEBR has better performance of energy balance and packet loss rate, compared to the conventional method.","Energy Balance ,  Wireless Networks ,  Wireless Mesh ,  Wireless Mesh Networks ,  Reward Function ,  Loss Of Balance ,  Conventional Route ,  Routing Model ,  Network Lifetime ,  Routing Decisions ,  Packet Loss Rate ,  Growth Of Devices ,  Machine Learning ,  Energy Consumption ,  Learning Rate ,  Service Quality ,  Internet Of Things ,  E-learning ,  Energy Distribution ,  Shortest Path ,  Routing Scheme ,  Routing Method ,  Markov Decision Process ,  Wireless Sensor Networks ,  Q-learning Algorithm ,  Distributed Manner ,  Routing Algorithm ,  Machine Learning Concepts ,  Energy Model ,  Problem Statement "
7,Adaptive Reinforcement Learning-Based Routing Protocol for Wireless Multihop Networks,https://ieeexplore.ieee.org/document/8545412/,10,Conference Paper,IEEE,2018,"This paper presents a research on a topic of development of an adaptive packet routing scheme for wireless multihop networks, based on reinforcement learning optimization algorithm. A brief overview of classical approaches for data routing in multihop networks is provided, emphasizing main drawbacks of such algorithms, caused by ineffective hop count routing metric used in traditional multihop routing algorithms. Then, an approach based on reinforcement learning theory is presented, that has a potential to select more effective routes, relying on feedback information from neighboring nodes. An algorithm based on reinforcement learning optimization function is proposed, as well as additional functions are introduced for initial route weights distribution and dynamic route probability selection, depending from the current packet loss ratio (PLR) and receive signal strength indicator (RSSI) factors. The elaborated adaptive routing scheme then has been tested in real wireless multihop topology, where a programming implementation of the proposed algorithm - RLRP protocol, showed better routing performance characteristics in terms of PLR and RRT (Route Recovery Time), compared to a traditional improved proactive scheme of wireless multihop routing, implemented in widely used B.A.T.M.A.N. (Better Approach to Mobile Ad hoc Networking) protocol.","Wireless Networks ,  Multi-hop Networks ,  Adaptive Routing ,  Multi-hop Wireless Networks ,  Adaptive Routing Protocol ,  Wireless Multihop ,  Implementation Of Programs ,  Neighboring Nodes ,  Feedback Information ,  Adaptive Scheme ,  Packet Loss ,  Effective Route ,  Traditional Routes ,  Routing Algorithm ,  Routing Scheme ,  Received Signal Strength Indicator ,  Hop Count ,  Reinforcement Learning Theory ,  Estimated Values ,  Internet Of Things ,  Source Node ,  Round-trip Time ,  Packet Loss Rate ,  Packet Forwarding ,  Transition Probabilities ,  Probability Of Selection ,  Physical Interface ,  Wireless Sensor Networks ,  Markov Decision Process ,  Receiver Node "
8,A tailored Q- Learning for routing in wireless sensor networks,https://ieeexplore.ieee.org/document/6449899/,19,Conference Paper,IEEE,2012,Wireless sensor networks (WSNs) have major importance in distributed sensing applications. The important concern in the intend of wireless sensor networks is battery consumption which usually rely on non-renewable sources of energy. In this paper we have proposed a tailored Q-Learning algorithm for routing scheme in wireless sensor network. Our primary goal is to make an efficient routing algorithm with help of modified Q-Learning approach to minimize the energy consumption utilized by sensor nodes. This approach is a modified version of existing Q-Learning method for WSN that leads to the convergence problem.,"Sensor Networks ,  Wireless Sensor Networks ,  Q-learning ,  Energy Consumption ,  Wireless Networks ,  Convergence Problems ,  Routing Algorithm ,  Routing Scheme ,  Q-learning Algorithm ,  Non-renewable Energy Sources ,  Battery Consumption ,  Simulation Results ,  Learning Algorithms ,  Energy Conservation ,  Aggregate Data ,  Simulation Time ,  Energy Difference ,  Transmission Power ,  Learning Phase ,  Multi-agent Systems ,  Number Of Sensor Nodes ,  Sink Node ,  Delivery Ratio ,  Routing Table ,  Flow Routing ,  Data Packets ,  Network Lifetime ,  Reinforcement Learning Approach "
9,Design of energy-aware QoS routing algorithm in wireless sensor networks using reinforcement learning,https://ieeexplore.ieee.org/document/6993408/,8,Conference Paper,IEEE,2014,"Nowadays a major class of wireless sensor network (WSN) applications required a minimum quality of service parameters to be satisfied while the wireless sensor nodes might be mobile. Most of the standard WSN routing algorithms greedily choose the neighbor node with the best quality of service (QoS) parameter(s) as a next hop. However, the data packet might be able to be routed through other neighbors as it might require less QoS. So the energy of the neighbor node with the best QoS will deplete earlier than other nodes which will result in the reduction of network lifetime. Therefore, it is important for WSN QoS routing protocols to efficiently balance energy and other resources consumption throughout the network. In this paper, we proposed EQR-RL, energy-aware QoS routing protocol in WSNs using reinforcement learning. We compare the network performance of our proposed protocol with three other protocols (QoS-AODV, RSSI and RL-QRP). The packet delivery ratio, average end-to-end delay and impact of the different traffic load on average end-to-end delay are investigated. Simulation results indicate the superiority of our proposed protocol over two others by considering different network traffic load and node mobility in terms of average end-to-end delay and packet delivery ratio.","Service Quality ,  Sensor Networks ,  Wireless Sensor ,  Wireless Sensor Networks ,  Routing Algorithm ,  Quality Of Service Routing ,  Neighboring Nodes ,  Data Packets ,  Traffic Load ,  Mobile Nodes ,  Delivery Ratio ,  Network Lifetime ,  Energy Of Nodes ,  Packet Delivery Ratio ,  Wireless Sensor Nodes ,  Learning Rate ,  Load Balancing ,  Beginning Of The Simulation ,  Exploration Strategy ,  Routing Problem ,  Routing Table ,  Quality Of Service Requirements ,  Routing Cost ,  Multi-agent Reinforcement Learning ,  Node Failure ,  Round-trip Time ,  Packet Header ,  Learning Protocol ,  Latency Range ,  Number Of Distance "
