title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
Optimizing IoT-enabled WSN routing strategies using whale optimization-driven multi-criterion correlation approach employs the reinforcement learning agent,https://link.springer.com/article/10.1007/s11082-023-06269-4,none,Article,Wiley,2024,"Wireless Sensor Networks (WSNs) are rapidly integrating into various fields due to their sensing capabilities, making them ideal for connecting multiple users to the Internet of Things (IoT) for real-time applications. However, these networks face limitations in delay and energy, impacting the efficiency of routing protocols. For devices to operate effectively over extended periods, optimizing these protocols is crucial. Addressing this, our study introduces a machine learning-optimized routing protocol tailored for IoT-enabled WSNs. This protocol efficiently manages IoT devices, emphasizing energy efficiency and mobility. We present the Whale Optimization-Driven Multi-Criterion Correlation (WOD-MCC) method, which consistently updates routing strategies based on insights from energy consumption and traffic patterns, ensuring effective routing decisions. This method evaluates device energy levels and node access to reduce data congestion and energy consumption while preserving the connectivity of IoT devices. For the performance evaluation of the proposed WOD-MCC, energy efficiency, scalability, and network connectivity are emphasized. In terms of data delivery, energy conservation, and delay reduction, our findings indicate that the WOD-MCC method outperforms existing protocols.",none
An intelligent fault detection approach based on reinforcement learning system in wireless sensor network,https://link.springer.com/article/10.1007/s11227-021-04001-1,33,Article,Wiley,2022,"The Internet of Things (IoT) has developed a well-defined infrastructure due to commercializing novel technologies. IoT networks enable smart devices to compile environmental information and transmit it to demanding users through an IoT gateway. The explosive increase of IoT users and sensors causes network bottlenecks, leading to significant energy depletion in IoT devices. The wireless network is a robust, empirically significant, and IoT layer based on progressive characteristics. The development of energy-efficient routing protocols for learning purposes is critical due to environmental volatility, unpredictability, and randomness in the wireless network’s weight distribution. To achieve this critical need, learning-based routing systems are emerging as potential candidates due to their high degree of flexibility and accuracy. However, routing becomes more challenging in dynamic IoT networks due to the time-varying characteristics of link connections and access status. Hence, modern learning-based routing systems must be capable of adapting in real-time to network changes. This research presents an intelligent fault detection, energy-efficient, quality-of-service routing technique based on reinforcement learning to find the optimum route with the least amount of end-to-end latency. However, the cluster head selection is dependent on residual energy from the cluster nodes that reduce the entire network’s existence. Consequently, it extends the network’s lifetime, overcomes the data transmission’s energy usage, and improves network robustness. The experimental results indicate that network efficiency has been successfully enhanced by fault-tolerance strategies that include highly trusted computing capabilities, thus decreasing the risk of network failure.",none
A novel algorithm for wireless sensor network routing protocols based on reinforcement learning,https://link.springer.com/article/10.1007/s13198-021-01414-2,4,Article,Wiley,2022,"Major challenging problems for wireless sensor networks are the utilization of energy and lifetime routing maximization in the network layer. In wireless sensor network protocols are more critical over data routing in the network. Energy awareness has been described in the context of data-centric, spatial based and categorized protocols. This research paper presents energy consumption analytical analysis based on adoptable routing algorithms based on reinforcement learning using Q-Learning algorithms. Performance comparisons with distributed routing algorithms in the context of the rate of delivery, energy consumption, flow rate, number of packets lost and lifetime of the system were evaluated.",none
Exploring machine learning solutions for overcoming challenges in IoT-based wireless sensor network routing: a comprehensive review,https://link.springer.com/article/10.1007/s11276-024-03697-2,9,Article,Wiley,2024,"An industry-wide paradigm change has been sparked by the growth of Internet of Things (IoT)-based Wireless Sensor Networks (WSNs), which has made reliable and effective routing methods necessary. This thorough analysis looks at how Machine Learning (ML) techniques may be used to solve the problems that come with WSN routing. A summary of standard routing algorithms and an examination of their shortcomings comprise the first portion of the paper. The integration of ML approaches, such as reinforcement learning and supervised and unsupervised learning, is then explored in order to improve WSN routing efficiency. The article examines the difficulties and factors related to ML-based routing, including data quality, energy efficiency, scalability, and security. Applications and case studies show how ML is really used in WSN routing, offering insights into effective tactics and lessons discovered. Evaluation metrics and performance assessments are included in a separate section that uses simulation and experimental data to compare ML-based and conventional techniques. Looking forward, the study describes new breakthroughs in ML for WSNs and points out unresolved issues, providing a guide for future research paths. The important results and their consequences are outlined in the conclusion, which also highlights how ML has the potential to revolutionize WSN routing in the future.",none
Multi-objective intelligent clustering routing schema for internet of things enabled wireless sensor networks using deep reinforcement learning,https://link.springer.com/article/10.1007/s10586-023-04218-0,2,Article,Wiley,2024,"The Internet of Things (IoTIoT) is built on a foundation of wireless sensor devices that connect humans and physical objects to the Internet and enable them to interact with one another to improve the living conditions of citizens. Wireless Sensor Networks (WSNs) are widely utilized in systems based on IoT to collect the data required by intelligent environments. However, IoT−enabled WSNs encounter a variety of difficulties such as poor network lifespan, limited throughput, and long communication delays, due to the massive non-homogenous data streaming from numerous sensor devices. Therefore, a multi-objective intelligent clustering routing schema for IoT−enabled WSNs utilizing deep reinforcement learning is proposed in this paper to overcome these shortcomings. The proposed schema partitions the entire network into various unequal clusters based on the present data load existing in sensor nodes, effectively preventing the network from dying prematurely. In addition, an unequal clustering mechanism is utilized to balance inter-cluster and intra-cluster energy consumption among cluster heads. The simulation findings demonstrate the effectiveness of the proposed schema in terms of energy efficiency, delivered packets, end-to-end delay, alive nodes, energy balancing, and network lifespan compared with the other two state-of-the-art existing schemes.",none
Energy-balanced routing in wireless sensor networks with reinforcement learning using greedy action chains,https://link.springer.com/article/10.1007/s00500-023-08734-4,1Citation,Article,Wiley,2023,"The challenge of routing in energy-constrained wireless sensor networks is to balance energy and extend network lifetime, and reinforcement learning is an effective method to address this problem. However, poor learning and decision-making efficiency are still the main factors affecting the network routing performance. In this research, RLR-TET is proposed as a reinforcement learning approach that evaluates the shortest routing and achieves node energy balance. First, this study employs a method in which each node broadcasts control information directly to its neighbor nodes, allowing learning to be accomplished by simple communication. Second, multiple greedy action chains form a tree structure by learning to build a greedy action chain. Third, the tree is dynamically adjusted during the learning process. Toward the root, each sensor node can obtain its optimal next hop; toward the leaf, each sensor node can achieve the update of the learning errors. Fourth, the learning errors of V-values are backpropagated along the tree to multi-layer nodes using the eligibility traces approach, achieving fast multi-step updates. In our experiments, we compared the method of this paper with five other algorithms. The number of packets delivered, the number of alive nodes, and the standard deviation of the nodes' remaining energy all improved significantly over time. Experiments have shown that our method responds quickly to network changes, improves the energy balance of network nodes, and successfully extends the lifetime of the network.",none
Energy Efficient and Delay Aware Optimization Reverse Routing Strategy for Forecasting Link Quality in Wireless Sensor Networks,https://link.springer.com/article/10.1007/s11277-022-09982-7,3,Article,Wiley,2023,"Wireless Sensor Networks (WSNs) have a rapidly increasing number of applications due to the development of long-range low-powered wireless devices. Node decoupling for (NoRD) efficient power-supplying of nodes offers a evade network to avoid sleepy nodes (Chen and Pinkston in NoRD: Node-node decoupling for effective power-gating of on-chip nodes, in Intl, Symp, On Microarchitecture (MICRO), 2012). Though, it obtains a huge latency as well as restricted scalability. In addition, it enhances energy utilization. To defeat this problem, Energy Efficient and Delay Aware Optimization Reverse Routing Strategy (EEOS) is proposed for forecasting link quality in WSN. The main objective of this research is to design a Multi-hop Reverse Routing Technique in WSN. The reverse routing technique avoids the amount of retransmission. Forecasting link quality is used to measure the link quality by Estimating Communication Count (ECC), energy, and delay. This technique enhances routing, link stability, and energy efficiency and minimizes network congestion. It supports Quality of Service (QoS) necessities of energy control, traffic arrangement, and route allotment. In this scheme, the Signal-to-Interference and Noise Ratio (SINR) assists in measuring the quality of a wireless connection. In addition, the route link score is used to form the route from sender to receiver. The reverse routing also provides an efficient route. Simulation results prove that the EEOS minimizes both the delay and the energy utilization and increases the network throughput compared to the baseline protocol.",none
Weighted-based path rediscovery routing algorithm for improving the routing decision in wireless sensor network,https://link.springer.com/article/10.1007/s12652-020-02709-1,2,Article,Wiley,2021,"Route failures pursued by rerouting is common in WSNs due to the unpredictable network dynamics and autonomous node behaviors. Optimal selection of neighbor is henceforth necessary to ensure profitable packet delivery and application support. In this manuscript, we propose a Weighted Path Rediscovery (WPR) routing for improving the routing decisions of WSN nodes. This routing algorithm is intended to prevent backtracking and curtail looped routing in WSNs. WPR précis’s conventional routing based on link expiration time (let) and fun factor at the time of neighbor discovery and reinforced routing, respectively. The two distinct features are converged using link stability factor to ensure the improved routing satisfying node’s behavior constraints. This improves the quality of packet transmission and minimizes routing complexity. The proposed routing algorithm is assessed using the factors: Packet Delivery Ratio (PDR), End-to-End Delay, Overhead and Connection Ratio.",none
Routing Algorithm for Energy Efficiency Optimizing of Wireless Sensor Networks based on Genetic Algorithms,https://link.springer.com/article/10.1007/s11277-023-10849-8,none,Article,Wiley,2023,"With the popularization of wireless sensor networks (WSN) and the concept of IoT (Internet-of-things), several applications have emerged in the industrial, scientific and engineering sectors. However, energy consumption is a challenge, because the demands for improvement in transmission rates and latency limitations. In particular, increasing the lifetime of wireless sensor networks has been a common goal in recent research. A viable alternative to solve this problem consists in reducing the data traffic defined by the routing protocol, which optimizes the number of messages that travel through the network. These protocols can also be optimized using evolutive algorithms, such as genetic algorithms. In the present work, is proposed a routing algorithm for WSN based on genetic algorithms, with the purpose of minimizing the total distance from the sensor node to the sink, which would allow optimized use of energy by sensor nodes and extend the lifetime of the WSN. The proposed algorithm includes a form of chromosome coding that had not yet been used in the context of routing and a new multi-objective fitness function. Performance analyzes were carried out establishing exhaustive search (ES) and opportunistic routing (OR) algorithms as comparison references and considering two scenarios: an open field and the other in a closed residential area. Proposed algorithm revealed superior performance when compared to reference algorithms. In open space and in the residential scenario, the lifetime provided by the proposed algorithm was 7320 and transmissions greater than that provided by OR. It was also observed that, with the increase in the number of transmissions, the standard deviation of the nodes’ residual energy is smaller when GAEA-RP is applied, which means the predictability of the energy consumed by them. After \(1.8 \times 10^{5}\) transmissions, it was 0.105 J for GAEA-RP versus 0.188 J for OR in the first scenario. In the second scenario, in addition to the smaller standard deviation of the residual energy, the proposed algorithm provides an average energy very close to that obtained with OR, which indicates the possibility of its application in environments with more obstacles. Concisely, the work introduces a new way of performing routing in WSN with average residual energy similar to OR, but with a slightly larger lifespan and greater residual energy uniformity between nodes.",none
Particle-Water Wave Optimization for Secure Routing in Wireless Sensor Network Using Cluster Head Selection,https://link.springer.com/article/10.1007/s11277-021-08335-0,33,Article,Wiley,2021,"Wireless sensor network (WSN) has some great advantages, such as flexible communication, low power consumption, and low cost. In view of the WSN clustering algorithm, the dynamic cluster head selection methods are put forward in order to solve the problem of the unreasonable cluster head selection that may lead to the overlapping coverage and unbalanced energy consumption in the cluster communication. Also, security is an important aspect in the WSN. Various security and routing protocols are developed for increasing the efficiency of packet transmission, but discovering the optimal path without degrading transmission reliability poses a challenging task in the sensor network. Hence, an effective and optimal secure routing algorithm named Particle-Water Wave Optimization (P-WWO) is developed in this research for routing the data packets in secure path. The proposed P-WWO algorithm is designed by integrating the Particle Swam Optimization (PSO) with the Water Wave Optimization (WWO). The secure route needed to broadcast the data packets is determined through the selection of Cluster Head using the PSO-based cellular automata with fitness measure. However, the fitness measure is computed by considering the factors, like energy, delay, trust, consistency factor, and maintainability factor. Accordingly, the routing path with the minimal distance and less delay is accepted as the optimal path using the proposed P-WWO based on the fitness value. The route maintenance process enables the proposed optimization to decide whether the packets can be transmitted in the selected route or need to re-route the data. Moreover, the proposed P-WWO obtained better performance using the metrics, such as energy balancing index, coverage, number of alive-nodes, and average energy left with the values of 0.9246 99.9%, 144, and 0.666 J, respectively.",none
