title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword
EEERP-RL: Enhanced energy-efficient routing protocol based on reinforcement learning for wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1002/itl2.548,none,SPECIAL ISSUE ARTICLE,Wiley,2024,"Wireless Sensor Networks (WSN) efficiently monitors and record environmental conditions, transmitting this data to central locations via widely distributed, sensor nodes. One major challenge in WSN involves creating an energy-efficient routing protocol that minimizes energy consumption and extends the network's longevity. In this paper, we propose EEERP-RL, an enhanced energy-efficient QoS routing protocol for WSNs, based on reinforcement learning (RL). The proposed protocol has been compared with two other protocols to determine which one gives the best performance in the network OSPF and SDN-Q. There is an investigation of packet delivery ratios and delays (m), as well as the impact of alive nodes, dead nodes, and energy consumption. Based on simulation results, the proposed protocol outperforms as compared to existing protocol in terms of different network traffic loads and node mobility.",none
Novel Learning Algorithms for Efficient Mobile Sink Data Collection Using Reinforcement Learning in Wireless Sensor Network,https://onlinelibrary.wiley.com/doi/10.1155/2018/7560167,18,Research Article,Wiley,2018,"Generally, wireless sensor network is a group of sensor nodes which is used to continuously monitor and record the various physical, environmental, and critical real time application data. Data traffic received by sink in WSN decreases the energy of nearby sensor nodes as compared to other sensor nodes. This problem is known as hot spot problem in wireless sensor network. In this research study, two novel algorithms are proposed based upon reinforcement learning to solve hot spot problem in wireless sensor network. The first proposed algorithm RLBCA, created cluster heads to reduce the energy consumption and save about 40% of battery power. In the second proposed algorithm ODMST, mobile sink is used to collect the data from cluster heads as per the demand/request generated from cluster heads. Here mobile sink is used to keep record of incoming request from cluster heads in a routing table and visits accordingly. These algorithms did not create the extra overhead on mobile sink and save the energy as well. Finally, the proposed algorithms are compared with existing algorithms like CLIQUE, TTDD, DBRkM, EPMS, RLLO, and RL-CRC to better prove this research study.",none
Enhanced reinforcement learning assisted dynamic power management model for internet-of-things centric wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1049/iet-com.2020.0026,15,Research Article,Wiley,2021,"The exponential rise in the demands of the wireless communication system has alarmed industries to achieve more efficient and quality-of-service (QoS) centric wireless communication networks. The decentralised and infrastructure-less nature of wireless sensor networks (WSNs) enable it to be one of the most sought and used wireless network globally. Its cost-efficiency and functional robustness towards low-power lossy networks make it suitable for internet-of-things (IoT) applications. In recent years, IoT technologies have been used in diverse applications, including Smart City Planning and Management (SCPM). Although, mobile-WSN has played a decisive role in IoT enabled SCPM, its routing optimality and power transmission have always remained challenging. Noticeably, major existing researches address mainly on routing optimisation and very few efforts are made towards dynamic power management (DPM) under non-linear network conditions. With this motive, in this study, a highly robust and efficient QoS – centric reinforcement learning-based DPM model has been developed for mobile-WSN to be used in SCPM. Unlike classical reinforcement learning methods, the authors’ proposed advanced reinforcement learning-based DPM model exploits both known and unknown network parameters and state-activity values, including bit-error probability, channel state information, holding time, buffer cost etc. to perform dynamic switching decision. The key objective of the proposed model is to ensure optimal QoS oriented DPM and adaptive switching control to yield reliable transmission with the maximum possible resource utilisation. To achieve it, they proposed model has been developed as a controlled-Markov decision problem by applying hidden Markov model it obtains known and unknown parameters, which are subsequently learnt using an enhanced reinforcement learning to yield maximum resource utilisation while maintaining low buffer cost, holding cost and bit-error probability to retain the QoS provision.",none
Fault-tolerant independent gradient forwarding routing for wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1002/dac.5899,none,RESEARCH ARTICLE,Wiley,2024,"For the sensor network, greedy forwarding is thought to be the best energy-efficient routing method. There are two restrictions on greedy forwarding: a minimum local scenario and an intersection problem in which it is unable to locate an existing route. The proposed independent gradient forward (IGF) proves that the Euclidean equation used by greedy forwarding is less capable of dealing with the problems mentioned above. IGF considers each dimension independently to enhance the efficiency of greedy forwarding, sustaining its simplicity. It contributes to strengthening the suggested IGF's ability to manage holes and get around obstructions in the wireless sensor network. We have demonstrated that it travels a shorter potential path and avoids stuck nodes well in advance. It is more energy-efficient since it can predict the void node and never visits a stalled node. We evaluated the suggested IGF's performance against other traditional boundary traversal-based methods on both rare and dense networks. In comparison with other boundary traversal-based algorithms, the simulation results indicate that it generates a 10% smaller route to bypass. The IGF average energy consumption increases slowly, rising by just 7% and 12.5% for dense and rare networks, respectively, with a fivefold increase in void size (from 100 to 500 m).",none
An Energy-Balanced Routing Protocol for a Wireless Sensor Network,https://onlinelibrary.wiley.com/doi/10.1155/2018/8505616,31,Research Article,Wiley,2018,"The wireless sensor network is an intelligent self-organizing network which consists of many sensor nodes deployed in the monitoring area. The greatest challenge of designing a wireless sensor network is to balance the energy consumption and prolong the lifetime of the network, seeing that the nodes can be powered only by batteries in most conditions. An energy-balanced routing protocol (EBRP) for wireless sensor networks is proposed in this paper. In EBRP, we divide the network into several clusters by using K-means++ algorithm and select the cluster head by using the fuzzy logical system (FLS). Since the previous researches did not demonstrate how to get the fuzzy rules for different networks, we propose a genetic algorithm (GA) to obtain the fuzzy rules. We code the rules as a chromosome, and the lifetime of the network is treated as a fit function. Then, through the selection, crossover, and mutation of each generation, the best offspring can be decoded as the best rule for each network model. Through the simulation, comparing with the existing routing protocols such as low-energy adaptive clustering hierarchy (LEACH), low-energy adaptive clustering hierarchy-centralized (LEACH-C), and stable election protocol (SEP), the EBRP prolongs the network lifetime (first node dies) by 57%, 63%, and 63%, respectively.",none
Energy efficient and effective node deployment for wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1002/dac.5139,none,RESEARCH ARTICLE,Wiley,2022,"The development of tiny sensor nodes (SNs) has incarnated numerous applications in the field of wireless sensor networks (WSN). These devices became much popular in multidisciplinary research area such as the internet of things (IoT). However, the use of these devices has been restricted due to some constraints like SN energy, data aggregation, quality of service (QoS), reliability, SN deployment, scalability, energy consumption, and many more. Among all these constraints, we focus on SN energy, SN deployment, and energy consumption of the network. Because if the consumption of SN energy is less, network lifetime automatically increases. So, we propose active–passive node topology on deployed SNs which enhance the network lifetime. With the help of the proposed mechanism, the lifetime and stability have increased by 60% and 3%, respectively, as compared with directed diffusion protocol in Experiment 1. In another experiment, the lifetime has increased by 67%, 64%, and 62% as compared with LEACH, NEAP, and DREEP, respectively, in homogeneous environment. The proposed scheme also performed significant improvement in heterogeneous environment. The simulation performance shows that the proposed protocol increases the network lifetime and stability of the network.",none
Energy efficient policy selection in wireless sensor network using cross layer approach,https://onlinelibrary.wiley.com/doi/10.1049/iet-wss.2017.0027,13,Research Article,Wiley,2017,"The authors have addressed the issue of energy saving in packet retransmission by reducing the packet loss in the first attempt. They have formulated the problem as Markov decision process and mapped the system into various states based on system dynamics like channel gain, buffer space, battery energy and harvested energy. In wireless sensor network, adaptive policy management is the best approach to work out with the variation of system states in a dynamically changing environment. The policies are defined regarding various controllable parameters like transmission power, modulation scheme, and transmission rate. The solution is sought regarding best policy selection as per the individual state of the system. They have evaluated the performance of the proposed optimum transreceiver scheme by extensive simulations with existing schemes like optimum energy allocation, adaptive modulation and adaptive power management for the various performance metrics like net bit rate and energy consumption in retransmission of packets for different system states.",none
Survey on underwater delay/disruption tolerant wireless sensor network routing,https://onlinelibrary.wiley.com/doi/10.1049/iet-wss.2013.0118,46,Article,Wiley,2014,"Underwater wireless sensor networks (UWSNs) have recently received a significant amount of attention. Since they have delay/disruption-tolerant networks (DTNs) characteristics, the design of any UWSN scheme must take DTN influences into account, especially in routing protocols. Many researchers have proposed various DTN routing techniques for different types of DTN routing schemes in UWSNs. The authors survey state-of-the-art DTN routing protocols, and use the definition of DTN to classify these proposals into scheduled contact, opportunistic contact and predicted contact. Furthermore, the authors analyse the detailed information in order to draw up a comparison table and also expect to inspire more research into this topic in the future.",none
Detection of unique delete attack in wireless sensor network using gradient thresholding-long short-term memory algorithm,https://onlinelibrary.wiley.com/doi/10.1002/cpe.7332,none,RESEARCH ARTICLE,Wiley,2022,"Wireless sensor network (WSN) is widely used in many fields, including agriculture, military, healthcare, monitoring, and surveillance. WSN application increases day by day due to growth in embedded and internet technologies. However, data security in WSN is challenging, and different types of attacks are increasing. Traditional intrusion detection methods analyze and identify attacks such as Denial of Service, anomaly detection, wormhole, sybil, and blackhole. Traditional methods never addressed the application layer's novel attack, such as the delete attack. Unique DELETE attack (DA) forms in the application layer and targets web servers and applications. Since unique DA use uniform resource locator requests, distinguishing them from legitimate traffic becomes difficult. The unique DA classify as unique (or) single, multiple, and repeated unique DELETE attacks; for detecting the unique DA types, gradient thresholding-long short-term memory (GT-LSTM) algorithm is proposed using packet per second and traffic rate data in WSN nodes. GT-LSTM algorithm detects unique DA through different thresholding at the training option layer in LSTM. Different gradient thresholding values in LSTM reduce the exploding gradients which fail to detect the unique DA nodes. Gradient thresholding in LSTM layers lies 1 to 3 for detecting unique DELETE attack nodes. The proposed method reduces detection time, improves accuracy, and identifies the hidden node that performs a unique DA in WSN. The unique DELETE Attack identification and performance through the proposed GT-LSTM is analyzed in the NS2 simulation environment and the test bed of WSN. Forms the experimental and simulation results, GT-LSTM performs better than fuzzy, KNN, and linear regression-based intruder detection systems. The proposed algorithm achieves 99% accuracy in detecting the DELETE attack nodes in WSN.",none
An energy-efficient clustering and cross-layer-based opportunistic routing protocol (CORP) for wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1002/dac.4752,25,RESEARCH ARTICLE,Wiley,2021,"Energy-efficient data collection is a significant research challenge in wireless sensor networks (WSNs). One of the essential approaches to improve WSN performance is clustering, routing, and denoising technique. Cluster head (CH) selection is an essential issue in WSN. The present work proposes cross-layer-based opportunistic routing protocol (CORP) for WSN. The proposed CORP approach has been used to find an optimal traversal path, which reduces computation time and energy consumption as well as improves data delivery reliability. For optimal clustering, K-medoid with adaptive Harris hawk optimization algorithm (AHHO) has been utilized for clustering the sensor nodes. Quality of service (QoS) impact, energy status criteria, distance, and sensor nodes position have been considered as key factors. These factors can influence the selection of CH in WSN. Moreover, the CH selection method can minimize traffic and energy saving. For efficient data collection, a hybrid Variable Weighted stacked Autoencoder with adaptive sunflower optimization (VWAE-ASFO) denoising technique has been intended for reducing the data error rate. Initially, in the data collection phase, the variable weighted stacked autoencoder senses the data and collects all the data from the network. Adaptive sunflower optimization algorithm (ASFO) updates the weight of VWAE to minimize the data error and model complexity. The simulation results demonstrate that the proposed CORP approach enhances QoS performance metrics such as energy consumption, packet delivery ratio, packet delay, network lifetime, throughput, jitter, buffer occupancy, and packet loss ratio. When the performance of the proposed approach is compared with the existing algorithms such as HEED, TCBDGA, FRLDG, MOBFO-EER, and FEEC-IIR, the proposed approach outperforms them.",none
Designing a Channel Access Mechanism for Wireless Sensor Network,https://onlinelibrary.wiley.com/doi/10.1155/2017/7493269,7,Research Article,Wiley,2017,"Although there are various Medium Access Control (MAC) protocols proposed for Wireless Sensor Network (WSN), there is no protocol accepted as a standard specific to it. This paper deals with completing the design of our previously proposed MAC for WSN by proposing a channel access mechanism (CAM). The CAM is based on developing a backoff mechanism which mainly differentiates nodes’ backoffs depending on their different identification numbers, and it employs a performance tuning parameter for reaching a required performance objective. The probability distribution of the backoff period is constructed and Markov chain modeling is used to analyze and evaluate the CAM against the IEEE802.15.4 slotted CSMA/CA based on single- and multihop communication with respect to the reliability, the average delay, the power consumption, and the throughput. The analysis reveals that the required performance of CAM against the IEEE slotted CSMA/CA can be obtained by choosing the maximum backoff stages number and the tuning parameter value and that CAM performs better than the IEEE with larger nodes number. The multihop scenario results in a good end-to-end performance of CAM with respect to the reliability and delay becomes better with lengthier paths at the expense of increasing the energy consumption.",none
